"animal_id","farm","breed","adg","initial_weight","days_on_feed"
1,"Farm1","Angus",1.59173621245953,316.572623243892,150
2,"Farm1","Angus",1.48641545266798,316.637305284215,139
3,"Farm1","Angus",1.61916780718173,289.478408999054,134
4,"Farm1","Angus",1.70904803539531,260.241084145981,147
5,"Farm1","Angus",1.5467755779491,325.507492251227,156
6,"Farm1","Angus",1.45068621935107,311.798052927027,105
7,"Farm1","Angus",1.55148013975399,259.596307021182,105
8,"Farm1","Angus",1.46560192287019,349.927113514761,133
9,"Farm1","Angus",1.41790626689196,356.990579402943,148
10,"Farm1","Angus",1.60638724551956,355.223996084413,129
11,"Farm1","Hereford",1.32877464920952,326.643814354051,165
12,"Farm1","Hereford",1.08409027125761,354.534428270124,144
13,"Farm1","Hereford",1.32422652260399,398.751638451304,125
14,"Farm1","Hereford",1.53768373023291,361.785416377512,144
15,"Farm1","Hereford",1.5919091803301,296.828126753661,142
16,"Farm1","Hereford",1.36513465569191,351.344598203625,125
17,"Farm1","Hereford",1.39061353760328,256.771746250137,146
18,"Farm1","Hereford",1.4751807471403,284.277326472499,170
19,"Farm1","Hereford",1.16371507492705,338.909491348934,138
20,"Farm1","Hereford",1.83722345756796,350.990548116657,133
21,"Farm1","Hereford",1.35597728268102,370.488456953483,140
22,"Farm1","Hereford",1.53208137506129,341.645189614656,144
23,"Farm1","Simmental",2.03350066072506,266.882775332714,146
24,"Farm1","Simmental",1.64087455374929,282.533964522066,128
25,"Farm1","Simmental",1.49914713392345,342.244058482974,130
26,"Farm1","Simmental",1.28575664199693,335.021231310202,150
27,"Farm1","Simmental",1.35479595408178,349.494775356328,149
28,"Farm1","Simmental",1.52912888811484,310.143415265492,140
29,"Farm1","Simmental",1.4515760843772,334.708818867678,102
30,"Farm1","Simmental",1.65007251889169,343.590247097866,154
31,"Farm1","Simmental",1.33536363318114,355.48108927936,138
32,"Farm1","Simmental",1.84757669955431,329.775744389736,122
33,"Farm2","Angus",1.30132484730345,331.043933063498,142
34,"Farm2","Angus",1.63598683891131,335.792113745776,143
35,"Farm2","Angus",1.41583439582711,363.405442449096,183
36,"Farm2","Angus",1.30215322609268,368.06451461735,129
37,"Farm2","Angus",1.58107482049643,329.642868015518,161
38,"Farm2","Angus",1.26328298993625,322.132548994556,130
39,"Farm2","Angus",1.69413833767125,313.136919375054,137
40,"Farm2","Angus",1.70486437851957,220.276497258043,131
41,"Farm2","Hereford",1.67916285460015,295.324976221683,133
42,"Farm2","Hereford",1.71320832672244,316.854561964024,147
43,"Farm2","Hereford",1.34000509130517,313.909833568276,128
44,"Farm2","Hereford",1.38510041856546,284.460756571872,145
45,"Farm2","Hereford",1.17475267885868,256.270934891627,127
46,"Farm2","Hereford",1.65398747770207,363.006590425744,147
47,"Farm2","Hereford",1.37066695598376,278.272961949586,143
48,"Farm2","Hereford",1.47332886255949,349.680536398369,135
49,"Farm2","Hereford",1.60682186759509,360.517669234595,139
50,"Farm2","Hereford",1.54099264831076,316.452742891893,168
51,"Farm2","Charolais",1.66676060616184,360.802229070096,156
52,"Farm2","Charolais",1.3789583286094,295.297772371925,135
53,"Farm2","Charolais",1.57080441215453,331.662661596028,158
54,"Farm2","Charolais",1.79585287431913,362.381187567748,148
55,"Farm2","Charolais",1.66465624589158,342.367912698282,138
56,"Farm2","Charolais",1.79209440795158,340.181869265403,135
57,"Farm2","Simmental",1.68310817659398,317.135186574671,114
58,"Farm2","Simmental",1.42031580039384,352.110420312953,141
59,"Farm2","Simmental",1.4453706200492,323.928709789243,137
60,"Farm2","Simmental",1.56193783949795,306.591666515084,144
61,"Farm2","Simmental",1.67702239827993,328.209618311986,158
62,"Farm2","Simmental",1.68503814440781,324.358125216974,122
63,"Farm2","Simmental",1.65629593836279,305.181151973107,165
64,"Farm2","Simmental",1.81715123436628,326.09367052571,112
65,"Farm3","Angus",1.37341685718314,289.826197612433,133
66,"Farm3","Angus",1.13887427159839,330.646746442237,128
67,"Farm3","Angus",1.4175386314226,314.165745921036,119
68,"Farm3","Angus",1.50846229998911,309.41299847891,150
69,"Farm3","Angus",1.88903557106504,340.540510454059,141
70,"Farm3","Angus",1.50606440705388,241.784234541383,143
71,"Farm3","Angus",1.56347896504029,342.174249994489,120
72,"Farm3","Angus",1.44562948537711,296.856234416193,139
73,"Farm3","Angus",1.43209485020243,282.081956177631,138
74,"Farm3","Angus",1.16293646407995,293.214641932673,146
